Age;Sex;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
44;Males;391128;385412;395935;405139;411183;428995;446229;459250;448391;458638;458119;466094;464777;469274;464894;456795;449087;437267;421744;414477;409009;395265;382818;372835;375776
45;Males;385508;394944;404010;411003;428696;445954;460024;449338;459580;458847;466278;463686;469065;464710;456389;447242;437306;421432;414397;408516;392832;382256;372277;375307;372499
46;Males;394934;403286;409821;428178;445323;460136;449839;460327;459574;466473;463698;468213;464720;456286;447104;435131;421349;413905;408000;392420;379877;371795;374451;371858;366387
47;Males;402956;409083;426830;444848;460111;450008;460982;460363;466910;463934;468241;464223;456459;447425;434677;419427;413787;407107;391901;379470;369054;373948;370898;366124;371672
48;Males;408686;425895;443362;459646;449907;461162;460924;467292;464166;468421;464042;456079;447929;434508;418988;411772;406538;391040;379102;368247;371561;370061;365514;370629;381325
49;Males;425223;442246;458241;449531;461119;460895;467159;464299;468381;463776;455625;447778;434454;418805;411181;404251;390441;378363;367340;370734;367997;364879;369338;380427;394528
50;Males;441156;457398;448214;460679;460679;466790;464096;468291;463528;455217;447173;433173;417591;410675;404011;389369;377139;366692;368844;367086;363672;367205;379263;393111;421561
51;Males;456148;447422;459146;460035;466140;463517;467949;463253;454869;446536;432709;416388;409266;403139;389317;376164;365065;368283;365445;362143;366075;377400;391939;420342;450251
52;Males;445934;458381;458416;464840;462547;467237;462675;454165;445848;432093;415843;407779;401138;388351;376094;363677;366629;365033;359854;364658;375920;390057;419355;447711;361928
53;Males;456662;457412;462772;461153;466091;461629;453253;444995;431375;415253;406849;399278;386527;375359;363242;365252;363623;358854;362582;374080;388324;417310;444902;360819;354498
54;Males;455524;461371;458885;464414;460396;452029;443840;430625;414635;405965;398077;384708;373619;361930;364747;362408;356747;361672;371493;386341;414851;441308;360058;353438;351273
55;Males;459355;457353;461828;458306;450508;442379;429432;413766;405027;396919;383275;372187;360173;363166;360352;354194;359701;369867;383901;411308;439459;358612;351974;349162;335916
56;Males;455257;460096;455586;448292;440547;427920;412473;403809;395732;381803;370550;358149;361201;358803;351509;357127;367313;381800;408090;436998;355487;349921;346529;333842;304138
57;Males;457660;453376;445264;438191;425944;410986;402257;394231;380237;368873;356462;359232;357166;349460;354547;364561;379159;405211;434972;352039;346771;343954;331432;301846;283549
58;Males;450790;443132;434992;423516;409034;400360;392354;378396;367095;354565;357180;355330;347104;352403;361603;376069;401892;433251;348895;343276;341516;329020;299074;281775;296055
59;Males;440443;432367;420370;406562;398136;390296;376259;365128;352571;354946;353049;344537;350113;359123;372729;398006;431071;345953;340055;338837;325809;296317;279767;293507;296884
60;Males;429528;417691;403425;395452;387727;373711;362778;350195;352575;350560;342036;347508;356829;369849;394463;426430;341916;336351;335937;322472;293373;277016;290625;293949;294391
61;Males;414478;400640;392086;384902;370817;360193;347607;349964;347984;339363;344813;353665;367118;390865;424002;336514;332246;332869;318902;290100;273592;287481;290827;291531;286998
62;Males;397424;389076;381285;367644;357114;344655;347058;345089;336520;341804;350511;363730;387286;421411;332833;326880;329548;315133;286544;269765;283867;287095;288115;283501;278218
63;Males;385588;377784;363871;353762;341424;343804;341798;333354;338726;347037;360105;382951;418803;329205;323184;324799;310927;282785;265589;279809;283285;284293;279861;274419;270180
64;Males;374114;360193;349778;337843;340241;338352;329817;335232;343444;356271;378936;415577;325608;319185;321652;305698;278729;261191;275436;279056;280187;275940;270327;266037;258532
65;Males;356235;346008;333653;336371;334335;325974;331371;339344;352154;374441;410796;321178;315706;318441;302036;274425;256040;270776;273855;274878;271032;266519;261716;254227;254827
66;Males;341734;329589;331780;330124;321821;327159;335058;347622;369891;405650;316899;311199;315352;297867;270741;251313;265642;269049;269512;265392;261298;257335;249300;249909;255562
67;Males;325207;327147;325194;317345;322675;330311;342846;364711;400331;312267;306682;311420;293907;266697;246920;260829;263890;264398;259857;255684;251999;244557;244844;249599;252835
68;Males;322367;320247;312241;317956;325211;337695;359153;394414;307604;301869;306622;289369;262809;242181;256227;258795;258916;254287;249835;246320;239004;239526;243498;246463;244050
69;Males;315099;306741;312293;319663;331921;353162;387939;302326;296805;301407;284218;258169;237541;251195;253891;253399;248307;244060;240136;232728;233441;237683;239762;237251;233936
70;Males;301313;306567;313345;325936;346605;381096;296617;291335;295932;278898;253268;232241;246224;248534;248094;242681;238139;234307;226475;226908;231175;233101;230058;226731;224176
71;Males;300612;306852;319099;339926;373517;290637;285327;289868;273258;247991;227038;240410;243234;242516;236873;232084;228111;220116;220123;224261;225750;223043;219306;216279;219904
72;Males;300087;311905;332142;365613;283987;278929;283463;266933;242322;221538;234546;237351;236773;230670;225980;221912;213402;213255;216879;217893;215379;211854;208150;211411;213740
73;Males;304593;324003;356349;277260;272065;276492;260197;236349;215967;228194;231037;230545;224392;219484;215608;207006;206168;209586;210007;207222;203683;200099;202571;204506;202005
74;Males;315633;346715;269206;264949;268846;252999;229921;209629;221925;224291;223871;217713;212796;208906;200431;199181;202019;202148;198817;195074;191545;193992;194875;192472;192263
75;Males;336711;260973;256330;261009;245047;222784;202948;214721;217491;216692;210697;205743;202127;193519;191869;194541;194047;190724;186479;182685;184834;185593;182573;182086;182383
76;Males;252412;247407;251686;237086;215047;195986;207409;209761;209560;202975;198388;194943;186377;184241;186736;185920;182299;177755;173780;175384;175917;173220;171962;171989;180253
77;Males;238197;241987;227704;207465;188446;199622;201716;201362;195469;190616;187145;178995;176340;178596;177549;173615;169064;164821;165811;165885;163103;162216;161395;168993;175417
78;Males;232110;217841;198300;180890;191126;193265;192728;186979;182716;178887;171104;168328;170560;168977;164880;160188;155679;156137;155985;152994;152035;151353;157347;163620;167079
79;Males;207838;188825;171517;182605;184278;183695;178335;173752;170717;162695;160316;162073;160306;155799;151161;146707;146778;145855;142860;141654;140932;146568;151913;154000;109518
80;Males;179076;162183;172210;175124;173931;168976;164622;161381;154211;151537;153259;151412;146885;141915;137461;137165;136079;132891;131247;130324;135235;140566;141029;101766;91117
81;Males;152707;161771;164154;164400;158876;154983;151847;144838;142892;143890;141952;137671;132643;127893;127567;126280;122953;121076;119643;124012;128529;128965;94125;82989;92063
82;Males;151191;153142;152856;149190;144606;141894;135389;133210;134586;131768;128009;123344;118635;117745;116289;113085;111028;109428;112924;116581;116623;87017;74942;82904;87787
83;Males;142142;141429;137644;134525;131393;125399;123376;124120;121889;117945;113720;109283;108390;106590;103230;101186;99407;102225;104869;104468;78900;67272;73834;77953;82253
84;Males;129966;126155;122654;121218;114775;113294;113915;111224;108305;103522;99533;98834;97094;93338;91646;89784;92047;93488;92518;70965;59886;65572;68463;72277;72149
85;Males;114898;111141;109177;104668;102813;103171;100748;97555;93961;89548;89228;87567;83994;82011;80143;82152;82734;81238;63354;52416;57448;59699;62893;62528;61691
86;Males;100046;97702;93097;92848;92300;90140;87211;83604;80563;79359;78002;74967;72954;70795;72461;72257;70775;55992;45251;49918;51548;54489;53620;52915;50959
87;Males;86728;82357;81392;82179;79128;76861;73885;70529;70374;68402;66060;64219;62180;63096;62626;60689;49176;38769;42570;43807;46563;45785;44808;43123;41360
88;Males;71758;70699;70611;69172;66426;64163;61355;60683;59678;57100;55712;53899;54632;53147;51005;42938;32832;35842;36692;39328;38581;37584;35898;34287;34041
89;Males;60661;60534;58078;56951;54325;52442;51927;50607;49097;47258;45916;46501;44609;42192;37193;27439;29933;30267;32641;31865;30934;29739;28108;27780;26975
90+;Males;200189;193257;187860;186474;178264;174614;169086;161769;156721;147557;140940;130127;120408;110093;102691;104521;103291;101590;97567;93295;89328;85079;80597;76835;73026
All Ages;Females;34495334;34213073;34062135;33981247;33789632;33603134;33405110;33129383;32896587;32644620;32416462;32187886;31953966;31728275;31523155;31291192;31065443;30872303;30653395;30511361;30392938;30280752;30195615;30105953;30016583
0;Females;338877;329505;340733;349296;358851;368316;377954;375388;376935;384446;395019;390106;386677;382112;384802;369069;358635;349508;342852;330667;323174;324219;332621;343268;347609
1;Females;337102;343144;350258;358750;367894;378395;376631;378284;385978;396418;392182;385998;381637;384993;369909;360359;349652;343395;330155;323411;325659;330909;342236;347991;356606
2;Females;350207;350619;357495;367214;377860;376372;379023;386795;397466;393568;387665;382279;385016;370847;362111;350206;343538;331282;323442;326926;332884;340590;347883;357035;350257
3;Females;357233;356763;366121;377567;375739;378753;387455;398231;394939;389086;383846;385930;371446;363804;350564;344051;331801;324615;327953;334330;342855;347071;356990;351429;354921
4;Females;362890;365864;376777;375545;378102;387215;398725;395983;390316;385039;387203;372956;365105;350792;344260;332488;325332;329970;335655;344732;349327;356106;352338;355258;365466
5;Females;372008;376887;374868;378144;386909;398706;397082;391454;386379;388416;373654;366267;351633;344723;332923;326348;330887;336660;346899;351357;357826;352946;354228;364964;368166
6;Females;382728;374925;377738;387036;398321;397416;392419;387392;389618;374223;366546;351340;345341;333592;327022;332726;337790;348116;353193;359998;354366;354436;364217;369005;381046
7;Females;380814;377944;387082;398523;397667;393075;388624;390748;375034;366984;352905;344955;334476;327974;334381;339895;349444;354324;362204;356572;355834;363989;368486;381209;385997
8;Females;383373;387571;398355;398285;393576;389445;391934;375823;367589;354705;346944;334365;329036;336117;341685;351747;355537;363418;358605;357897;365768;368838;380693;386498;378899
9;Females;393012;398789;398640;394412;390231;392871;376789;368243;356625;349097;336579;329167;337975;343599;353652;357534;364797;359792;359759;367884;370162;381163;386397;379824;376411
10;Females;403978;399653;394875;391201;393685;377317;369014;358505;351358;338957;331368;339048;345544;354963;359014;367321;361707;360929;368643;371505;383026;385964;379373;376787;380572
11;Females;404330;395985;391781;394824;377874;369533;360406;353537;341392;333688;340176;346840;357132;360314;368975;363939;362857;370151;371971;384471;387748;379738;376573;381388;372617
12;Females;400416;393066;395686;378802;370046;362237;355825;343833;336122;341487;347827;358569;362207;370396;365394;365003;372180;372913;384707;389008;380014;376352;380982;373255;367204
13;Females;397284;397127;379349;370841;364081;358073;346413;338590;342960;348950;359258;363614;372491;366733;366569;374466;374398;385413;389082;380495;376622;381282;373416;368176;368043
14;Females;401429;380779;371671;366232;360588;349088;341492;344685;350448;360345;364014;374099;368613;367822;376093;376285;386878;389458;379322;377461;381585;373396;367772;368708;354107
15;Females;384696;373117;368374;363401;352096;344384;346741;352180;361762;364713;374557;371544;370188;379426;379195;389470;390937;380698;378627;383368;373354;368665;367725;354562;353176
16;Females;377231;370658;365677;355465;347973;349191;354705;363809;366169;375600;371835;373732;382357;382918;392912;393875;381587;381086;385444;375827;368532;369740;354234;353452;354090
17;Females;375133;369378;359072;352597;353118;358147;367554;368993;378060;373385;375419;387003;385848;398749;398166;384607;382360;388744;378264;371099;369774;356551;352414;354535;361624
18;Females;378035;368029;361208;361664;365370;374759;376596;384508;378625;380496;391614;393550;404053;406963;391054;387988;391614;384838;375356;373500;357863;350912;348100;358817;359950
19;Females;379313;376290;375647;378427;387136;387956;397335;389592;391213;401487;402326;415610;415256;402136;400082;402172;390465;387384;382320;364808;355502;352705;360479;364809;351381
20;Females;385794;382785;385634;397547;398180;406305;400096;401097;410248;409499;422068;423891;408652;403019;410091;398244;396427;391227;370805;361801;359518;369242;367254;351207;330342
21;Females;388725;389601;398997;406136;414545;407123;410984;418763;416615;428833;429922;418453;411401;414773;407077;404500;402729;383053;371162;367153;376752;371277;353921;333160;327977
22;Females;396765;404315;406805;425876;418896;422308;433172;428887;439716;440876;429061;423010;424690;413629;415517;412743;396769;387362;377899;384518;380070;359230;337549;333080;343298
23;Females;414814;412093;425208;428425;433709;442928;443435;451572;451528;440833;433315;434139;421610;420495;422240;407016;401679;392450;393986;387316;367183;344491;338841;348204;356112
24;Females;422604;423239;416758;426241;438360;438261;450904;449638;438462;432476;432235;429936;427362;427041;416675;413432;406710;407741;397040;374287;351259;345593;352670;360927;370857
25;Females;432895;418012;424158;437438;438086;450233;452891;441328;434579;435214;430364;430890;431186;419501;418626;415764;414183;408560;382064;356461;349884;357524;367986;376146;396893
26;Females;427206;428957;440338;441213;454043;456555;448725;441028;441401;435135;433784;434445;423855;423250;420978;422475;415223;392812;362728;355045;361717;372191;382736;401765;422460
27;Females;437447;445636;445360;459398;461468;454247;449345;448997;440909;438442;437853;427294;429035;425414;426986;423381;398983;371452;361055;366423;375783;386802;407703;427116;440597
28;Females;453463;450558;463380;467311;460555;455316;458151;447581;443669;442559;430578;433973;431239;431069;428085;406557;376333;369332;372064;380145;389964;411401;433061;443757;437489
29;Females;457446;467796;471574;467231;461327;464311;454849;449193;447129;434429;436652;436106;436053;432196;411012;382047;373755;379657;385295;393762;413999;436287;447755;440390;452686
30;Females;473935;476054;472302;467447;470816;459857;455463;452206;438619;440140;438661;439051;436089;413624;386878;375747;385160;391313;395384;416466;438451;450321;444453;455427;458331
31;Females;481699;477487;472310;476786;464760;459347;457704;442792;443532;441584;441911;439370;417290;388350;380013;387001;395922;400323;417840;440107;452609;446395;458180;460367;468855
32;Females;482662;476600;480885;469215;462081;459906;446189;446004;443436;444162;441393;420458;390767;381636;391234;397614;404415;422322;440885;455015;448303;460038;463037;470525;472924
33;Females;481201;485429;471852;465370;462297;447919;448927;445580;446679;443899;422518;392630;383933;392855;401112;405607;425472;444149;456094;449872;461683;464613;472736;473973;478174
34;Females;489549;475319;467692;465224;450105;450616;448410;449506;446649;425159;394753;386014;395310;402635;408753;426441;446695;459630;450469;463043;466086;474120;475680;478592;475295
35;Females;479022;469934;466643;452272;452274;449562;452525;449292;427791;397110;388008;395571;403665;411119;428222;448115;461590;451862;464508;465797;475088;476154;479312;475486;467367
36;Females;473453;468416;453262;453803;450545;454022;452004;430220;399304;389983;397545;403845;411813;430120;449186;463389;453089;465645;467068;474409;477226;479485;476509;468165;456247
37;Females;471642;454295;454409;451415;455153;453272;432502;401199;391762;399436;405694;411842;430626;450579;464987;454238;466699;468101;475204;476890;480667;476076;468446;456245;445162
38;Females;457048;454986;451687;456361;454658;433879;403297;393514;401340;407649;413444;430362;450501;466932;455326;467823;469097;475605;477821;480545;477229;468290;456710;445314;427571
39;Females;457701;451883;456815;456022;435077;404395;395287;403082;409557;415069;431807;449741;467503;456500;468523;469966;476044;478211;481569;477060;468976;456720;446024;427922;420085
40;Females;454064;457399;456501;436223;405448;396223;404899;411206;416697;433243;451003;468191;457004;469218;468839;477034;477784;482058;477570;469001;457389;445137;428401;419872;413468
41;Females;459346;457077;436738;406210;397035;405903;412922;418049;434661;452272;469654;456966;469575;469364;475382;478897;481700;478096;469084;457431;445344;427816;420421;413747;400866
42;Females;458625;437438;406398;397642;406814;413935;419578;435914;453494;471058;458271;469434;469602;475339;477503;482874;477746;469139;457631;445001;428041;420004;414387;401067;387549
43;Females;438754;406634;397586;407583;414988;420598;437365;454749;472664;459694;470691;469357;474994;477531;481704;478760;468491;457842;444738;427866;420246;413943;401531;387747;377261
44;Females;407583;397956;407543;415640;421351;438091;455786;473881;460928;471842;470513;474193;477311;481863;477750;468974;457338;444556;427649;420132;413910;401097;388438;377886;380681
45;Females;398808;407728;415326;421766;438889;456493;475181;462142;473100;471701;475009;476570;481192;477502;468842;457306;443726;427228;419238;413299;400011;387634;378432;380599;376671
46;Females;408193;415675;421376;439126;456949;475916;463335;474155;472902;475901;477191;480677;476876;468255;457299;443321;426531;418902;412190;399484;386777;377685;380760;376543;372178
47;Females;415990;421767;438527;457026;476662;464190;475178;473917;476741;477775;481120;476378;467296;456950;442843;426133;418219;411498;398575;386335;376545;379929;376554;372013;375909
48;Females;421785;438691;456259;476739;464767;475814;474893;477433;478392;481609;476713;466410;456220;442075;425829;417781;410552;398016;385421;375753;378709;375598;372125;375407;387202
49;Females;438547;456417;476028;464795;476292;475527;478129;478814;482024;476931;466441;455551;440998;425099;417461;409863;397110;384848;374573;377952;374667;371345;375099;386669;399090
50;Females;456008;476116;464177;476061;476000;478342;479140;482319;477180;466496;455591;440842;424058;416519;409124;395878;383839;373244;376418;373302;370396;374125;386342;398235;427365
51;Females;475404;464302;475077;475641;478262;478937;482343;477091;466423;455438;440550;423843;415515;408038;395167;382661;372111;375184;371986;368558;373364;385345;397825;426429;454843
52;Females;463467;474967;474589;477494;478599;481958;476909;466151;455306;440214;423526;415362;406685;394077;382071;370609;373942;370914;366664;371601;384385;396480;425918;452710;366091
53;Females;474021;474496;476287;477698;481476;476446;465907;455064;439794;423185;414960;406193;392790;381096;369644;372404;369849;365126;369802;382552;395347;424596;451241;365490;358948
54;Females;473097;475900;476175;480278;475781;465316;454684;439219;422686;414408;405572;392445;379805;368366;371482;368507;363593;368265;380637;393374;422886;447625;365913;358469;354867
55;Females;474375;475670;478795;474451;464454;454011;438446;422082;413866;404915;391626;378976;367397;370644;366605;362406;366927;378711;391484;419800;447173;365035;357737;353466;340584
56;Females;474214;478041;472643;463034;452995;437360;421184;412988;404001;390583;377928;366310;369575;365944;359954;365815;377158;389331;417053;445226;363025;356736;351658;339442;310094
57;Females;476348;471919;461089;451442;435983;420148;411936;403037;389543;376817;365208;368363;364965;358688;363463;375745;387677;414280;443754;359917;354815;349997;338098;308737;291406
58;Females;469993;460191;449563;434232;418814;410734;401791;388277;375694;363945;367041;363886;357141;362159;373355;386097;411941;442249;357231;351864;348908;336447;307241;290349;303720
59;Females;458236;448321;432202;417002;409265;400376;386828;374305;362731;365712;362461;355428;360712;371826;383409;409779;441044;354373;349153;346564;334681;305414;289028;302133;305728
60;Females;446134;430744;414968;407275;398703;385146;372748;361213;364291;360901;353850;358822;369746;381354;407327;439135;351309;346085;344782;332806;303747;287717;300895;303959;302346
61;Females;428555;413595;405130;396622;383310;370999;359558;362595;359265;352122;357011;367560;379107;404554;437642;348032;343073;342209;330523;302143;285504;298822;302433;300591;296324
62;Females;411352;403442;394286;380995;368889;357719;360773;357329;350349;355097;365399;376850;401600;435948;345374;339861;339904;327531;300060;283212;296537;299836;298719;294257;290413
63;Females;400979;392230;378424;366440;355583;358604;355222;348258;353073;363126;374587;398568;434051;342430;337231;337348;324584;297163;280515;294150;297469;296174;292435;288179;282818
64;Females;389532;376357;363809;353163;356242;352838;345980;350791;360755;372061;395953;432033;339281;334338;335236;321416;294433;277050;291332;295052;293605;289981;286054;280608;274648
65;Females;373472;361559;350582;353705;350043;343492;348256;358095;369344;393049;428926;336197;331257;333026;318990;291390;272707;288338;292025;290902;287080;283306;278366;271933;274484
66;Females;358689;348138;350877;347207;340714;345555;355161;366257;390095;425511;333297;328008;330542;316097;288937;269342;284353;288850;287792;283972;280183;275401;269392;271675;278457
67;Females;345048;348140;344057;337677;342461;351949;362993;386724;421957;330148;324880;328059;312909;286216;266447;280462;284385;284477;280556;276936;272148;266132;268637;274917;282251
68;Females;344615;340845;334259;339211;348333;359406;382972;417920;326913;321480;324643;309628;283333;263087;277305;280576;279977;276788;273053;268842;262670;265695;271651;278239;279586
69;Females;337305;330913;335461;344509;355538;378934;413468;323175;318019;320961;306086;280193;259506;273796;277114;275893;272140;269088;264969;258870;261567;267718;274232;275007;271922
70;Females;326953;331591;340399;351318;374312;408583;319235;314057;317148;302248;276691;255756;269763;273395;272067;267844;264426;260995;254711;257282;263357;269635;270186;267001;263565
71;Females;327250;335810;346420;369619;403323;315076;309807;312770;298276;272963;252099;265689;269349;267910;263653;259904;256222;250332;252567;258687;264589;264955;261725;258084;263499
72;Females;331054;341471;364118;397719;310281;305008;308088;293626;268842;248071;261485;265109;263509;259085;255576;251486;245350;247517;253423;259108;259380;256243;252237;257395;262539
73;Females;336044;358398;391181;305338;299882;302866;288650;264206;243855;256817;260399;258902;254262;250689;246873;240251;241723;248038;253148;253461;250073;246193;251081;255578;256479
74;Females;352161;384295;299417;294553;297190;283277;259248;239037;252160;255400;254056;249269;245570;241795;235142;235911;241883;246869;247125;243605;239618;244455;248391;249020;252996
75;Females;376633;293216;288350;291341;277278;253881;233878;246677;250116;248587;243788;240152;236510;229623;230111;235686;240047;240314;236461;232715;237026;241104;241195;244980;249046
76;Females;286486;281799;284426;271151;247931;228311;240905;244028;242964;237850;234469;230838;223803;223787;229357;232929;233013;228972;225314;229048;232874;233476;236387;240205;253365
77;Females;274665;277067;263744;241952;222098;234455;237718;236356;231788;228044;224595;217548;217331;222598;225824;225578;220996;217614;220687;224284;224875;227778;230837;243760;258098
78;Females;269181;255916;234442;215777;227407;230678;229585;224712;221561;217528;210874;210464;215637;218204;217748;213018;209231;212061;215100;215723;218404;221789;233775;247295;252523
79;Females;247532;226694;208180;220271;222791;221986;217474;214010;210524;203413;203259;208013;210303;209513;204793;200776;202954;205553;205981;208388;212035;223737;235798;239387;174690
80;Females;218249;200181;211431;215019;213706;209506;206093;202052;196048;195220;199968;201865;200901;195825;192044;193497;195969;195940;198137;201292;212400;224557;225722;167051;152885
81;Females;191613;202589;205409;205252;200600;197382;193564;187361;187207;191008;192678;192095;186673;182673;183701;185871;185686;187293;190187;200563;212028;212119;158757;143712;160294
82;Females;193000;195625;194970;191477;187798;184185;178445;177809;182035;182544;182328;177177;173392;173487;175246;175039;176436;178883;188112;198676;198283;150866;134066;149418;160955
83;Females;185246;184460;180734;178162;174116;168817;168168;171435;172551;171748;167056;163354;163123;164438;163976;165392;167592;175417;184827;183910;141010;124475;138413;148650;160457
84;Females;173412;169719;166582;163957;158179;157625;160713;160851;161388;155890;152830;152191;153438;152582;153708;155709;162409;171019;169118;130941;114619;127404;136253;147019;148863
85;Females;158153;155031;151832;147814;146529;149318;149425;149360;145199;141162;141179;141960;141217;141812;143587;149417;157177;154211;120538;104545;116273;123949;133558;134869;133062
86;Females;143161;140029;135450;135593;137024;137184;137265;132805;130278;129379;130300;129572;130075;131223;136282;143181;139659;110148;94141;104740;111820;120725;121271;119628;117050
87;Females;128045;123406;122572;125388;124238;124439;120674;117766;118039;118041;117568;118264;119005;122950;129160;125056;100021;84276;93321;99600;107628;108260;106348;103670;103081
88;Females;111262;110086;111895;112032;111133;108197;105606;105217;106586;105195;106251;106984;110261;115052;110301;90267;74544;82288;87329;94576;95291;93759;90985;89969;89920
89;Females;97826;98941;97905;98706;95034;93133;93120;93519;93587;93507;94476;97634;101790;95705;80400;65176;71870;75527;82019;82391;81294;78954;77805;77353;77486
90+;Females;409709;404593;400470;402964;394090;396656;396307;390527;391634;378233;371909;355764;332400;310820;303993;313256;314722;314096;309298;304498;298610;291727;283142;276796;271096
